Title,Composer,Permlink,Instrumentation,Key,Piece Style,First Performance,Year/Date of Composition,Composer Time Period,Average Duration,Year,num_downloads
"10 Kinderstücke, Op.22","Bolck, Oskar","https://imslp.org/wiki/10_Kinderstücke,_Op.22_(Bolck,_Oskar)",piano,see below,romantic,,1868?,romantic,,1868,7
"10 Kinderstücke zu 4 Händen, Op.182","Loeschhorn, Albert","https://imslp.org/wiki/10_Kinderstücke_zu_4_Händen,_Op.182_(Loeschhorn,_Albert)",piano 4 hands,,romantic,,,romantic,,,2456
"10 Karakterstycken, Op.27","Norman, Ludvig","https://imslp.org/wiki/10_Karakterstycken,_Op.27_(Norman,_Ludvig)","piano, violin",,romantic,,,romantic,,,167
10 Klavierstücke,"Hall, Jürgen","https://imslp.org/wiki/10_Klavierstücke_(Hall,_Jürgen)",piano,,modern,,,modern,,,3275
10 Keyboard Sonatinas,"Gibson, Ashlin Tyler","https://imslp.org/wiki/10_Keyboard_Sonatinas_(Gibson,_Ashlin_Tyler)",keyboard,,modern,,2016,modern,21,2016,78
"10 Klavierstücke, Op.7","Zweig, Otto","https://imslp.org/wiki/10_Klavierstücke,_Op.7_(Zweig,_Otto)",piano,,romantic,,,romantic,,,73
"10 Klaverstykker i Etudeform, Op.18","Winding, August","https://imslp.org/wiki/10_Klaverstykker_i_Etudeform,_Op.18_(Winding,_August)",piano,,romantic,,,romantic,,,287
10 Kleine Klavierstücke,"Jarnach, Philipp","https://imslp.org/wiki/10_Kleine_Klavierstücke_(Jarnach,_Philipp)",piano,,early 20th century,,,early 20th century,,,47
"10 Klavierstücke nach eigenen Liedern, Op.19","Kirchner, Theodor","https://imslp.org/wiki/10_Klavierstücke_nach_eigenen_Liedern,_Op.19_(Kirchner,_Theodor)",piano,,romantic,,,romantic,,,4
"10 Kleine Lieder, Op.32","Fährmann, Hans","https://imslp.org/wiki/10_Kleine_Lieder,_Op.32_(Fährmann,_Hans)","piano, voice",,romantic,,,romantic,,,30
"10 Kleine Tonbilder, Op.72","Wickenhausser, Richard","https://imslp.org/wiki/10_Kleine_Tonbilder,_Op.72_(Wickenhausser,_Richard)",piano,,romantic,,,romantic,,,102
10 Kleine Plaudereien,"Schytte, Ludvig","https://imslp.org/wiki/10_Kleine_Plaudereien_(Schytte,_Ludvig)",piano,,romantic,,,romantic,,,416
"10 Kleine Vortragsstücke, Op.44","Reger, Max","https://imslp.org/wiki/10_Kleine_Vortragsstücke,_Op.44_(Reger,_Max)",piano,,romantic,,1899,romantic,,1899,4031
10 Kolęd koncertowych,"Nowowiejski, Feliks","https://imslp.org/wiki/10_Kolęd_koncertowych_(Nowowiejski,_Feliks)","piano, voice",,romantic,,,romantic,,,32
"10 Klavierstücke, Op.28","Emborg, Jens Laursøn","https://imslp.org/wiki/10_Klavierstücke,_Op.28_(Emborg,_Jens_Laursøn)",piano,,early 20th century,,,romantic,,,13
"10 Konzertetüden, Op.55","Toch, Ernst","https://imslp.org/wiki/10_Konzertetüden,_Op.55_(Toch,_Ernst)",piano,,early 20th century,,1931,early 20th century,,1931,0
"10 Leichte Duetten, Op.174","Abt, Franz","https://imslp.org/wiki/10_Leichte_Duetten,_Op.174_(Abt,_Franz)","or chorus) and piano, voices (sa",,romantic,,,romantic,,,389
"10 Leichte Fughetten, Op.37","Merkel, Gustav Adolf","https://imslp.org/wiki/10_Leichte_Fughetten,_Op.37_(Merkel,_Gustav_Adolf)",organ,,romantic,,,romantic,,,4096
10 Kleinere Orgelstücke nebst einer Fuge,"Hermesdorff, Michael","https://imslp.org/wiki/10_Kleinere_Orgelstücke_nebst_einer_Fuge_(Hermesdorff,_Michael)",organ,,romantic,,,romantic,,,343
"10 Leichte Duetten, Op.132","Abt, Franz","https://imslp.org/wiki/10_Leichte_Duetten,_Op.132_(Abt,_Franz)","alto piano, voices : soprano",,romantic,,,romantic,,,3199
"10 Leichte Stückchen, Op.174","Reinecke, Carl","https://imslp.org/wiki/10_Leichte_Stückchen,_Op.174_(Reinecke,_Carl)","piano, violin",,romantic,,,romantic,,,126
10 Leichte Stücke nach Liedern,"Brahms, Johannes","https://imslp.org/wiki/10_Leichte_Stücke_nach_Liedern_(Brahms,_Johannes)","clarinet (b ♭ ), piano (arranged)",,romantic,,,romantic,,,2057
